client,worker,netsend_mean,netsend_std
6,8,4437429.577464789,63888.4267704896
6,16,4472288.23943662,21560.695559628948
6,32,4473793.82629108,38394.62716177257
6,64,4581748.018779342,50347.857608814236
24,8,11636248.708920188,196415.28731831003
24,16,11812237.896713614,176755.5666651683
24,32,11708691.389671361,161859.4632905466
24,64,11618183.403755868,73424.91943638651
48,8,12666096.854460092,104060.76751651696
48,16,16396381.070422538,2414742.2632820127
48,32,15348605.042253522,46994.23273484583
48,64,15124592.774647886,48605.74372651278
96,8,12734929.244131455,68220.49009536492
96,16,14989610.384976527,33169.74953045341
96,32,17984764.450704228,53573.60196836448
96,64,18352493.112676058,78657.49054270877
144,8,12575096.558685446,130812.43695384727
144,16,14928664.037558684,52295.21103742145
144,32,18031135.525821596,41785.93923273259
144,64,20120545.83098592,61970.82636744771
192,8,12747651.934272299,111952.11453040574
192,16,14974772.591549294,70240.19408911344
192,32,18297173.877934273,26411.89529562829
192,64,21104267.05633803,110676.10527258142
288,8,11894419.708920188,532613.7710199647
288,16,13936848.244131455,492000.169932595
288,32,16932056.0657277,1203867.801853052
288,64,21281331.59624413,351254.32098096376
