client,worker,netrecv_mean,netrecv_std
6,8,7611915.0,171945.65061062062
6,16,7660057.647887324,112063.75806355804
6,32,7660324.915492958,42443.215195859164
6,64,7834679.685446009,118115.59305133135
24,8,19585596.85915493,472555.5807743657
24,16,19980548.78403756,291240.3424659022
24,32,19603487.474178404,293940.1686062484
24,64,19326794.497652583,516818.95402149647
48,8,21688680.309859157,63408.26296088919
48,16,20345209.699530516,5927977.554214279
48,32,25243650.40375587,196186.05295242122
48,64,24936389.70422535,304603.26233402075
96,8,22043079.323943663,175805.82968877433
96,16,25832000.29577465,204756.2159342241
96,32,30594593.53051643,304937.7659905874
96,64,30506134.68544601,149092.67065895238
144,8,21751043.35680751,135095.37972320255
144,16,26155810.408450704,92511.38739521054
144,32,31177957.929577466,3230.3883677184676
144,64,33913310.94835681,58400.377813585095
192,8,22201873.075117372,263472.7197465279
192,16,26148500.723004695,168543.50782333195
192,32,31470727.35680751,76526.14433209809
192,64,35200108.08450704,320565.27310456434
288,8,21934389.70422535,246660.10088711133
288,16,25961680.239436615,277525.0186231469
288,32,31332299.76525822,168607.50450454012
288,64,36217551.86384977,197174.83621353676
