client,worker,netsend_mean,netsend_std
6,8,20400796.563380282,461470.4218881555
6,16,20529796.211267605,300247.7497444931
6,32,20541158.230046947,112418.87117478313
6,64,21136062.023474175,308613.7126800496
24,8,52498378.450704224,1266949.3730096775
24,16,53556812.42253521,781124.6491107196
24,32,52546235.19248826,787965.7443309886
24,64,51824392.05164319,1380002.4896291904
48,8,58135563.535211265,170441.64080624288
48,16,54534376.13615024,15890592.615657292
48,32,67665230.79342723,526446.4841741507
48,64,66847412.31924883,819339.9412629125
96,8,59084361.3943662,471428.18128111126
96,16,69242880.7230047,549495.8058931937
96,32,82009575.64319248,818104.353911865
96,64,81780626.7370892,402570.14548308484
144,8,58301936.38967136,360947.61953634664
144,16,70107497.36150235,250605.62735624242
144,32,83582194.42253521,12864.000843410678
144,64,91138954.22065727,150126.53785062215
192,8,59510705.187793426,707093.1328084794
192,16,70090109.58685446,452064.444817835
192,32,84352033.50234742,207876.16622782973
192,64,94750524.74178404,851434.8493604517
288,8,58793733.81220657,661165.1379520487
288,16,69588575.99530517,742663.2736954623
288,32,83978664.87323944,454212.71362796234
288,64,97460591.52112675,524061.0142142863
