client,worker,netrecv_mean,netrecv_std
6,8,14036544.629107982,203196.01458725263
6,16,14113481.849765258,165125.27151858507
6,32,14142834.910798123,144949.20738273897
6,64,14475874.319248825,129220.55789774997
24,8,35867374.910798125,415216.306240365
24,16,36698032.55399061,400939.7036550596
24,32,36328039.84507042,298080.66379239433
24,64,35981828.96713615,249786.84211087154
48,8,39018199.666666664,181817.43662880862
48,16,42848918.44600939,3053817.4317579987
48,32,46982525.314554,37189.69664423236
48,64,46232289.521126755,370802.31532873935
96,8,39300000.42253521,258624.98853691542
96,16,46160125.36619719,76745.60484354717
96,32,55849130.50704225,94049.7091438802
96,64,56667182.4741784,211099.74567301862
144,8,38807716.24413145,331636.525073656
144,16,46090970.558685444,97551.67898288254
144,32,55979461.65258216,47105.2493895511
144,64,62570210.71830986,266371.2711399854
192,8,39326256.53521127,316587.34727175825
192,16,46305439.15492958,212836.451599495
192,32,56377052.0657277,37721.069278196
192,64,65077434.126760565,216485.56896375644
288,8,39238580.05164319,108285.67935779787
288,16,46054250.69953052,122670.50736055362
288,32,56344957.11267606,95557.65089621294
288,64,66371492.15023474,240011.8609687151
