client,worker,netsend_mean,netsend_std
6,8,455707.7981220658,6528.251949145099
6,16,458169.12676056335,5382.456421935473
6,32,458994.0093896713,4674.113381343128
6,64,467107.68544600933,4271.20464737584
24,8,1162124.1690140846,13471.172799910175
24,16,1189038.6525821595,12985.139396636398
24,32,1177054.6056338027,9606.321099721386
24,64,1165541.9577464787,8122.082329020483
48,8,1264079.0798122066,5888.542742513555
48,16,1388064.516431925,98791.08077718432
48,32,1521756.938967136,1222.0192097221309
48,64,1497352.1690140844,11977.710727559554
96,8,1273145.9248826292,8387.893240900341
96,16,1495249.7276995305,2463.613165678432
96,32,1808685.5821596244,3162.1787054324964
96,64,1835043.5539906106,6870.9230500364965
144,8,1257256.9483568075,10752.287171549646
144,16,1492903.0281690143,3160.8282083820777
144,32,1814734.9483568075,1473.1569964695434
144,64,2026067.9154929577,8698.80646254288
192,8,1274041.2253521127,10206.532099991964
192,16,1499835.061032864,6831.856192221036
192,32,1825731.5680751174,1225.4162781933692
192,64,2107222.3333333335,7067.125531508377
288,8,1271203.6431924885,3513.367017861935
288,16,1491651.1596244134,3908.819241523169
288,32,1824670.5821596244,3131.5358196695743
288,64,2148949.511737089,7795.057232112606
