client,worker,write_tp_mean,write_tp_std
6,8,3239.6448692152917,46.95977173493956
6,16,3255.2034205231394,40.49276719485614
6,32,3261.2333333333336,34.92334917301498
6,64,3319.1619047619047,28.23800770885022
24,8,8283.658953722335,95.34258439561596
24,16,8480.014285714286,96.5387779405687
24,32,8393.207712944333,68.414828917429
24,64,8308.800000000001,59.293948940447386
48,8,9013.98779342723,42.272779224854034
48,16,11044.104761904773,913.9334302208819
48,32,10853.617236753855,9.919486120642173
48,64,10679.085714285715,84.87160611069751
96,8,9082.283769282361,62.92200179675701
96,16,10662.119584171698,17.568892351017006
96,32,12904.589939637828,19.108119561848515
96,64,13090.895640509721,46.838605262605874
144,8,8966.69001602206,74.8399070242299
144,16,10646.735710559655,21.190890128411514
144,32,12928.847283702213,5.493063857093155
144,64,14457.411312318354,57.727142120694715
192,8,9086.977129443327,71.98293534455381
192,16,10695.150156494523,48.14512718060536
192,32,13024.00258191662,7.249777169150898
192,64,15036.757670094643,53.79835522945412
288,8,9063.532517326179,21.82114287766381
288,16,10636.874457858261,30.20129775877903
288,32,13018.400683732021,26.154590901637874
288,64,15332.446236679336,54.898217093810835
