client,worker,write_tp_mean,write_tp_std
6,8,3250.0190476190473,46.921663379840425
6,16,3264.114285714286,40.79522947967482
6,32,3270.285714285714,36.097170447082355
6,64,3327.504761904762,28.547781484108235
24,8,8304.466666666665,100.64100700136841
24,16,8498.238095238095,98.97682909859577
24,32,8414.190476190475,70.00433546664804
24,64,8335.228571428572,66.69735790134727
48,8,9037.752380952381,46.57476665415391
48,16,9920.252380952381,713.507249826906
48,32,10878.723809523808,17.479793322667806
48,64,10707.0,83.53861952642565
96,8,9098.352380952381,67.63166582468703
96,16,10685.142857142857,14.486057101231548
96,32,12930.28095238095,25.154178547762584
96,64,13123.009523809524,46.644660992368266
144,8,9025.933333333332,94.95567554106619
144,16,10716.795238095237,42.03003515196293
144,32,13023.095238095239,32.210583322947045
144,64,14519.223809523808,55.26968554813392
192,8,9112.357142857143,77.90244116929998
192,16,10827.771428571428,47.46512074223347
192,32,13204.428571428572,47.7315038793566
192,64,15239.404761904763,43.12741655787973
288,8,9215.657142857144,25.813564962136
288,16,10816.571428571428,27.318247869632074
288,32,13228.70476190476,23.105017075495187
288,64,15595.366666666667,53.02797404904376
