mw,sharded,ratio,rep,latency,weight
1,true,1:6,1,1,0
1,true,1:6,1,2,0
1,true,1:6,1,3,0
1,true,1:6,1,4,85
1,true,1:6,1,5,5801
1,true,1:6,1,6,34173
1,true,1:6,1,7,53462
1,true,1:6,1,8,45018
1,true,1:6,1,9,29931
1,true,1:6,1,10,18645
1,true,1:6,1,11,12413
1,true,1:6,1,12,8628
1,true,1:6,1,13,6424
1,true,1:6,1,14,4761
1,true,1:6,1,15,3657
1,true,1:6,1,16,3070
1,true,1:6,1,17,2328
1,true,1:6,1,18,1904
1,true,1:6,1,19,1579
1,true,1:6,1,20,1315
1,true,1:6,1,21,1127
1,true,1:6,1,22,960
1,true,1:6,1,23,848
1,true,1:6,1,24,721
1,true,1:6,1,25,712
1,true,1:6,1,26,619
1,true,1:6,1,27,545
1,true,1:6,1,28,508
1,true,1:6,1,29,461
1,true,1:6,1,30,391
1,true,1:6,1,31,368
1,true,1:6,1,32,332
1,true,1:6,1,33,356
1,true,1:6,1,34,308
1,true,1:6,1,35,302
1,true,1:6,1,36,315
1,true,1:6,1,37,278
1,true,1:6,1,38,246
1,true,1:6,1,39,206
1,true,1:6,1,40,194
1,true,1:6,1,41,217
1,true,1:6,1,42,185
1,true,1:6,1,43,201
1,true,1:6,1,44,193
1,true,1:6,1,45,184
1,true,1:6,1,46,181
1,true,1:6,1,47,184
1,true,1:6,1,48,177
1,true,1:6,1,49,148
1,true,1:6,1,50,164
1,true,1:6,1,51,130
1,true,1:6,1,52,135
1,true,1:6,1,53,119
1,true,1:6,1,54,113
1,true,1:6,1,55,113
1,true,1:6,1,56,115
1,true,1:6,1,57,95
1,true,1:6,1,58,80
1,true,1:6,1,59,110
1,true,1:6,1,60,92
1,true,1:6,1,61,82
1,true,1:6,1,62,74
1,true,1:6,1,63,74
1,true,1:6,1,64,79
1,true,1:6,1,65,62
1,true,1:6,1,66,68
1,true,1:6,1,67,52
1,true,1:6,1,68,54
1,true,1:6,1,69,52
1,true,1:6,1,70,35
1,true,1:6,1,71,40
1,true,1:6,1,72,43
1,true,1:6,1,73,47
1,true,1:6,1,74,40
1,true,1:6,1,75,31
1,true,1:6,1,76,35
1,true,1:6,1,77,30
1,true,1:6,1,78,32
1,true,1:6,1,79,34
1,true,1:6,1,80,25
1,true,1:6,1,81,27
1,true,1:6,1,82,18
1,true,1:6,1,83,19
1,true,1:6,1,84,20
1,true,1:6,1,85,24
1,true,1:6,1,86,19
1,true,1:6,1,87,26
1,true,1:6,1,88,14
1,true,1:6,1,89,16
1,true,1:6,1,90,16
1,true,1:6,1,91,12
1,true,1:6,1,92,12
1,true,1:6,1,93,6
1,true,1:6,1,94,11
1,true,1:6,1,95,10
1,true,1:6,1,96,8
1,true,1:6,1,97,9
1,true,1:6,1,98,13
1,true,1:6,1,99,5
1,true,1:6,1,100,7
2,true,1:6,1,1,0
2,true,1:6,1,2,0
2,true,1:6,1,3,0
2,true,1:6,1,4,1167
2,true,1:6,1,5,27118
2,true,1:6,1,6,67014
2,true,1:6,1,7,59650
2,true,1:6,1,8,36505
2,true,1:6,1,9,21709
2,true,1:6,1,10,14106
2,true,1:6,1,11,9715
2,true,1:6,1,12,7134
2,true,1:6,1,13,5465
2,true,1:6,1,14,4172
2,true,1:6,1,15,3329
2,true,1:6,1,16,2647
2,true,1:6,1,17,2123
2,true,1:6,1,18,1782
2,true,1:6,1,19,1367
2,true,1:6,1,20,1217
2,true,1:6,1,21,1029
2,true,1:6,1,22,969
2,true,1:6,1,23,832
2,true,1:6,1,24,658
2,true,1:6,1,25,661
2,true,1:6,1,26,599
2,true,1:6,1,27,518
2,true,1:6,1,28,538
2,true,1:6,1,29,472
2,true,1:6,1,30,384
2,true,1:6,1,31,413
2,true,1:6,1,32,348
2,true,1:6,1,33,357
2,true,1:6,1,34,303
2,true,1:6,1,35,305
2,true,1:6,1,36,277
2,true,1:6,1,37,280
2,true,1:6,1,38,267
2,true,1:6,1,39,238
2,true,1:6,1,40,232
2,true,1:6,1,41,241
2,true,1:6,1,42,254
2,true,1:6,1,43,215
2,true,1:6,1,44,202
2,true,1:6,1,45,198
2,true,1:6,1,46,190
2,true,1:6,1,47,207
2,true,1:6,1,48,182
2,true,1:6,1,49,159
2,true,1:6,1,50,157
2,true,1:6,1,51,142
2,true,1:6,1,52,134
2,true,1:6,1,53,143
2,true,1:6,1,54,145
2,true,1:6,1,55,123
2,true,1:6,1,56,128
2,true,1:6,1,57,125
2,true,1:6,1,58,120
2,true,1:6,1,59,103
2,true,1:6,1,60,118
2,true,1:6,1,61,115
2,true,1:6,1,62,98
2,true,1:6,1,63,105
2,true,1:6,1,64,98
2,true,1:6,1,65,94
2,true,1:6,1,66,74
2,true,1:6,1,67,70
2,true,1:6,1,68,65
2,true,1:6,1,69,71
2,true,1:6,1,70,52
2,true,1:6,1,71,40
2,true,1:6,1,72,61
2,true,1:6,1,73,42
2,true,1:6,1,74,46
2,true,1:6,1,75,47
2,true,1:6,1,76,44
2,true,1:6,1,77,27
2,true,1:6,1,78,29
2,true,1:6,1,79,34
2,true,1:6,1,80,27
2,true,1:6,1,81,45
2,true,1:6,1,82,27
2,true,1:6,1,83,18
2,true,1:6,1,84,24
2,true,1:6,1,85,32
2,true,1:6,1,86,15
2,true,1:6,1,87,21
2,true,1:6,1,88,33
2,true,1:6,1,89,20
2,true,1:6,1,90,17
2,true,1:6,1,91,20
2,true,1:6,1,92,21
2,true,1:6,1,93,21
2,true,1:6,1,94,12
2,true,1:6,1,95,20
2,true,1:6,1,96,16
2,true,1:6,1,97,16
2,true,1:6,1,98,12
2,true,1:6,1,99,12
2,true,1:6,1,100,8
1,true,1:6,2,1,0
1,true,1:6,2,2,0
1,true,1:6,2,3,0
1,true,1:6,2,4,146
1,true,1:6,2,5,7373
1,true,1:6,2,6,37518
1,true,1:6,2,7,55005
1,true,1:6,2,8,44352
1,true,1:6,2,9,28782
1,true,1:6,2,10,18191
1,true,1:6,2,11,12211
1,true,1:6,2,12,8671
1,true,1:6,2,13,6395
1,true,1:6,2,14,4827
1,true,1:6,2,15,3864
1,true,1:6,2,16,2934
1,true,1:6,2,17,2329
1,true,1:6,2,18,1877
1,true,1:6,2,19,1572
1,true,1:6,2,20,1331
1,true,1:6,2,21,1129
1,true,1:6,2,22,953
1,true,1:6,2,23,839
1,true,1:6,2,24,689
1,true,1:6,2,25,672
1,true,1:6,2,26,591
1,true,1:6,2,27,545
1,true,1:6,2,28,495
1,true,1:6,2,29,463
1,true,1:6,2,30,416
1,true,1:6,2,31,360
1,true,1:6,2,32,362
1,true,1:6,2,33,336
1,true,1:6,2,34,288
1,true,1:6,2,35,307
1,true,1:6,2,36,282
1,true,1:6,2,37,263
1,true,1:6,2,38,207
1,true,1:6,2,39,198
1,true,1:6,2,40,210
1,true,1:6,2,41,193
1,true,1:6,2,42,153
1,true,1:6,2,43,183
1,true,1:6,2,44,193
1,true,1:6,2,45,184
1,true,1:6,2,46,164
1,true,1:6,2,47,162
1,true,1:6,2,48,179
1,true,1:6,2,49,174
1,true,1:6,2,50,122
1,true,1:6,2,51,135
1,true,1:6,2,52,135
1,true,1:6,2,53,121
1,true,1:6,2,54,122
1,true,1:6,2,55,116
1,true,1:6,2,56,117
1,true,1:6,2,57,96
1,true,1:6,2,58,103
1,true,1:6,2,59,108
1,true,1:6,2,60,85
1,true,1:6,2,61,82
1,true,1:6,2,62,90
1,true,1:6,2,63,58
1,true,1:6,2,64,76
1,true,1:6,2,65,65
1,true,1:6,2,66,67
1,true,1:6,2,67,65
1,true,1:6,2,68,47
1,true,1:6,2,69,48
1,true,1:6,2,70,49
1,true,1:6,2,71,41
1,true,1:6,2,72,53
1,true,1:6,2,73,44
1,true,1:6,2,74,46
1,true,1:6,2,75,37
1,true,1:6,2,76,31
1,true,1:6,2,77,27
1,true,1:6,2,78,28
1,true,1:6,2,79,30
1,true,1:6,2,80,26
1,true,1:6,2,81,16
1,true,1:6,2,82,30
1,true,1:6,2,83,19
1,true,1:6,2,84,23
1,true,1:6,2,85,29
1,true,1:6,2,86,24
1,true,1:6,2,87,20
1,true,1:6,2,88,22
1,true,1:6,2,89,15
1,true,1:6,2,90,12
1,true,1:6,2,91,4
1,true,1:6,2,92,6
1,true,1:6,2,93,7
1,true,1:6,2,94,10
1,true,1:6,2,95,7
1,true,1:6,2,96,5
1,true,1:6,2,97,8
1,true,1:6,2,98,8
1,true,1:6,2,99,6
1,true,1:6,2,100,12
2,true,1:6,2,1,0
2,true,1:6,2,2,0
2,true,1:6,2,3,1
2,true,1:6,2,4,1120
2,true,1:6,2,5,26195
2,true,1:6,2,6,66801
2,true,1:6,2,7,61524
2,true,1:6,2,8,37515
2,true,1:6,2,9,21947
2,true,1:6,2,10,13903
2,true,1:6,2,11,9544
2,true,1:6,2,12,7252
2,true,1:6,2,13,5279
2,true,1:6,2,14,4127
2,true,1:6,2,15,3178
2,true,1:6,2,16,2446
2,true,1:6,2,17,2009
2,true,1:6,2,18,1718
2,true,1:6,2,19,1477
2,true,1:6,2,20,1173
2,true,1:6,2,21,1009
2,true,1:6,2,22,890
2,true,1:6,2,23,768
2,true,1:6,2,24,708
2,true,1:6,2,25,603
2,true,1:6,2,26,608
