client,mw,sharded,ratio,latency,weight
1,1,true,1:6,1,0
1,1,true,1:6,2,0
1,1,true,1:6,3,0
1,1,true,1:6,4,0
1,1,true,1:6,5,0
1,1,true,1:6,6,0
1,1,true,1:6,7,0.28
1,1,true,1:6,8,2.95
1,1,true,1:6,9,11.05
1,1,true,1:6,10,33.41
1,1,true,1:6,11,32.76
1,1,true,1:6,12,35.91
1,1,true,1:6,13,34.379999999999995
1,1,true,1:6,14,30.17
1,1,true,1:6,15,24.290000000000006
1,1,true,1:6,16,17.97
1,1,true,1:6,17,13.780000000000001
1,1,true,1:6,18,10.349999999999994
1,1,true,1:6,19,8.129999999999995
1,1,true,1:6,20,6.289999999999992
1,1,true,1:6,21,5.000000000000014
1,1,true,1:6,22,3.809999999999988
1,1,true,1:6,23,3.1100000000000136
1,1,true,1:6,24,2.4200000000000017
1,1,true,1:6,25,2.0999999999999943
1,1,true,1:6,26,1.6899999999999977
1,1,true,1:6,27,1.4399999999999977
1,1,true,1:6,28,1.220000000000013
1,1,true,1:6,29,1.1099999999999994
1,1,true,1:6,30,0.9599999999999937
1,1,true,1:6,31,0.8299999999999983
1,1,true,1:6,32,0.7600000000000051
1,1,true,1:6,33,0.7000000000000028
1,1,true,1:6,34,0.6099999999999852
1,1,true,1:6,35,0.6200000000000188
1,1,true,1:6,36,0.5699999999999932
1,1,true,1:6,37,0.539999999999992
1,1,true,1:6,38,0.5400000000000063
1,1,true,1:6,39,0.480000000000004
1,1,true,1:6,40,0.45999999999999375
1,1,true,1:6,41,0.4300000000000068
1,1,true,1:6,42,0.4199999999999875
1,1,true,1:6,43,0.37000000000000455
1,1,true,1:6,44,0.3999999999999915
1,1,true,1:6,45,0.4200000000000017
1,1,true,1:6,46,0.4000000000000057
1,1,true,1:6,47,0.3400000000000034
1,1,true,1:6,48,0.37000000000000455
1,1,true,1:6,49,0.3299999999999983
1,1,true,1:6,50,0.29000000000000625
1,1,true,1:6,51,0.2799999999999869
1,1,true,1:6,52,0.28000000000000114
1,1,true,1:6,53,0.20999999999999375
1,1,true,1:6,54,0.2400000000000091
1,1,true,1:6,55,0.1700000000000017
1,1,true,1:6,56,0.15000000000000568
1,1,true,1:6,57,0.1699999999999875
1,1,true,1:6,58,0.12000000000000455
1,1,true,1:6,59,0.15000000000000568
1,1,true,1:6,60,0.12000000000000455
1,1,true,1:6,61,0.11999999999999034
1,1,true,1:6,62,0.12000000000000455
1,1,true,1:6,63,0.13999999999998636
1,1,true,1:6,64,0.14000000000001478
1,1,true,1:6,65,0.13999999999998636
1,1,true,1:6,66,0.1500000000000199
1,1,true,1:6,67,0.0999999999999801
1,1,true,1:6,68,0.11000000000001364
1,1,true,1:6,69,0.13999999999998636
1,1,true,1:6,70,0.1500000000000199
1,1,true,1:6,71,0.12999999999998124
1,1,true,1:6,72,0.12000000000000455
1,1,true,1:6,73,0.13000000000000966
1,1,true,1:6,74,0.13999999999998636
1,1,true,1:6,75,0.10999999999999943
1,1,true,1:6,76,0.14000000000001478
1,1,true,1:6,77,0.09999999999999432
1,1,true,1:6,78,0.09999999999999432
1,1,true,1:6,79,0.05999999999998806
1,1,true,1:6,80,0.0800000000000125
1,1,true,1:6,81,0.07000000000000739
1,1,true,1:6,82,0.04999999999999716
1,1,true,1:6,83,0.06999999999999318
1,1,true,1:6,84,0.07000000000000739
1,1,true,1:6,85,0.04999999999998295
1,1,true,1:6,86,0.040000000000020464
1,1,true,1:6,87,0.04999999999999716
1,1,true,1:6,88,0.05000000000001137
1,1,true,1:6,89,0.04999999999998295
1,1,true,1:6,90,0.020000000000010232
1,1,true,1:6,91,0.01999999999998181
1,1,true,1:6,92,0.040000000000020464
1,1,true,1:6,93,0.029999999999986926
1,1,true,1:6,94,0.01999999999999602
1,1,true,1:6,95,0.04000000000000625
1,1,true,1:6,96,0.030000000000015348
1,1,true,1:6,97,0.029999999999972715
1,1,true,1:6,98,0.030000000000015348
1,1,true,1:6,99,0.030000000000015348
1,1,true,1:6,100,0.0899999999999892
2,1,true,1:6,1,0
2,1,true,1:6,2,0
2,1,true,1:6,3,0
2,1,true,1:6,4,0
2,1,true,1:6,5,0
