mw,sharded,ratio,rep,latency,weight
1,true,1:6,1,1,0
1,true,1:6,1,2,0
1,true,1:6,1,3,14
1,true,1:6,1,4,3187
1,true,1:6,1,5,15702
1,true,1:6,1,6,19789
1,true,1:6,1,7,20796
1,true,1:6,1,8,22795
1,true,1:6,1,9,20364
1,true,1:6,1,10,15576
1,true,1:6,1,11,11186
1,true,1:6,1,12,8136
1,true,1:6,1,13,6167
1,true,1:6,1,14,4737
1,true,1:6,1,15,3482
1,true,1:6,1,16,2703
1,true,1:6,1,17,2031
1,true,1:6,1,18,1584
1,true,1:6,1,19,1213
1,true,1:6,1,20,981
1,true,1:6,1,21,837
1,true,1:6,1,22,614
1,true,1:6,1,23,536
1,true,1:6,1,24,478
1,true,1:6,1,25,372
1,true,1:6,1,26,345
1,true,1:6,1,27,344
1,true,1:6,1,28,317
1,true,1:6,1,29,256
1,true,1:6,1,30,266
1,true,1:6,1,31,193
1,true,1:6,1,32,193
1,true,1:6,1,33,239
1,true,1:6,1,34,162
1,true,1:6,1,35,150
1,true,1:6,1,36,164
1,true,1:6,1,37,162
1,true,1:6,1,38,148
1,true,1:6,1,39,138
1,true,1:6,1,40,112
1,true,1:6,1,41,123
1,true,1:6,1,42,141
1,true,1:6,1,43,120
1,true,1:6,1,44,113
1,true,1:6,1,45,111
1,true,1:6,1,46,89
1,true,1:6,1,47,86
1,true,1:6,1,48,72
1,true,1:6,1,49,68
1,true,1:6,1,50,75
1,true,1:6,1,51,63
1,true,1:6,1,52,53
1,true,1:6,1,53,40
1,true,1:6,1,54,49
1,true,1:6,1,55,39
1,true,1:6,1,56,52
1,true,1:6,1,57,49
1,true,1:6,1,58,43
1,true,1:6,1,59,44
1,true,1:6,1,60,57
1,true,1:6,1,61,34
1,true,1:6,1,62,33
1,true,1:6,1,63,41
1,true,1:6,1,64,49
1,true,1:6,1,65,31
1,true,1:6,1,66,46
1,true,1:6,1,67,35
1,true,1:6,1,68,45
1,true,1:6,1,69,39
1,true,1:6,1,70,49
1,true,1:6,1,71,46
1,true,1:6,1,72,48
1,true,1:6,1,73,30
1,true,1:6,1,74,26
1,true,1:6,1,75,26
1,true,1:6,1,76,26
1,true,1:6,1,77,26
1,true,1:6,1,78,19
1,true,1:6,1,79,23
1,true,1:6,1,80,24
1,true,1:6,1,81,24
1,true,1:6,1,82,17
1,true,1:6,1,83,20
1,true,1:6,1,84,15
1,true,1:6,1,85,12
1,true,1:6,1,86,9
1,true,1:6,1,87,13
1,true,1:6,1,88,17
1,true,1:6,1,89,12
1,true,1:6,1,90,13
1,true,1:6,1,91,13
1,true,1:6,1,92,8
1,true,1:6,1,93,5
1,true,1:6,1,94,17
1,true,1:6,1,95,3
1,true,1:6,1,96,11
1,true,1:6,1,97,4
1,true,1:6,1,98,3
1,true,1:6,1,99,2
1,true,1:6,1,100,1
2,true,1:6,1,1,0
2,true,1:6,1,2,0
2,true,1:6,1,3,0
2,true,1:6,1,4,1036
2,true,1:6,1,5,9777
2,true,1:6,1,6,17536
2,true,1:6,1,7,17736
2,true,1:6,1,8,14277
2,true,1:6,1,9,10775
2,true,1:6,1,10,8050
2,true,1:6,1,11,6313
2,true,1:6,1,12,4941
2,true,1:6,1,13,3824
2,true,1:6,1,14,3072
2,true,1:6,1,15,2612
2,true,1:6,1,16,2140
2,true,1:6,1,17,1773
2,true,1:6,1,18,1463
2,true,1:6,1,19,1287
2,true,1:6,1,20,1074
2,true,1:6,1,21,930
2,true,1:6,1,22,894
2,true,1:6,1,23,804
2,true,1:6,1,24,777
2,true,1:6,1,25,763
2,true,1:6,1,26,637
2,true,1:6,1,27,663
2,true,1:6,1,28,580
2,true,1:6,1,29,579
2,true,1:6,1,30,564
2,true,1:6,1,31,541
2,true,1:6,1,32,574
2,true,1:6,1,33,551
2,true,1:6,1,34,577
2,true,1:6,1,35,577
2,true,1:6,1,36,622
2,true,1:6,1,37,562
2,true,1:6,1,38,610
2,true,1:6,1,39,564
2,true,1:6,1,40,598
2,true,1:6,1,41,656
2,true,1:6,1,42,653
2,true,1:6,1,43,665
2,true,1:6,1,44,723
2,true,1:6,1,45,588
2,true,1:6,1,46,531
2,true,1:6,1,47,441
2,true,1:6,1,48,429
2,true,1:6,1,49,360
2,true,1:6,1,50,272
2,true,1:6,1,51,210
2,true,1:6,1,52,202
2,true,1:6,1,53,162
2,true,1:6,1,54,169
2,true,1:6,1,55,129
2,true,1:6,1,56,120
2,true,1:6,1,57,114
2,true,1:6,1,58,121
2,true,1:6,1,59,114
2,true,1:6,1,60,91
2,true,1:6,1,61,91
2,true,1:6,1,62,103
2,true,1:6,1,63,99
2,true,1:6,1,64,96
2,true,1:6,1,65,96
2,true,1:6,1,66,70
2,true,1:6,1,67,79
2,true,1:6,1,68,89
2,true,1:6,1,69,71
2,true,1:6,1,70,68
2,true,1:6,1,71,60
2,true,1:6,1,72,52
2,true,1:6,1,73,67
2,true,1:6,1,74,57
2,true,1:6,1,75,58
2,true,1:6,1,76,43
2,true,1:6,1,77,44
2,true,1:6,1,78,48
2,true,1:6,1,79,25
2,true,1:6,1,80,50
2,true,1:6,1,81,41
2,true,1:6,1,82,24
2,true,1:6,1,83,27
2,true,1:6,1,84,29
2,true,1:6,1,85,12
2,true,1:6,1,86,21
2,true,1:6,1,87,25
2,true,1:6,1,88,14
2,true,1:6,1,89,25
2,true,1:6,1,90,16
2,true,1:6,1,91,20
2,true,1:6,1,92,19
2,true,1:6,1,93,11
2,true,1:6,1,94,10
2,true,1:6,1,95,5
2,true,1:6,1,96,10
2,true,1:6,1,97,8
2,true,1:6,1,98,10
2,true,1:6,1,99,7
2,true,1:6,1,100,3
1,true,1:6,2,1,0
1,true,1:6,2,2,0
1,true,1:6,2,3,16
1,true,1:6,2,4,3039
1,true,1:6,2,5,15591
1,true,1:6,2,6,20246
1,true,1:6,2,7,21886
1,true,1:6,2,8,23566
1,true,1:6,2,9,20313
1,true,1:6,2,10,15241
1,true,1:6,2,11,10948
1,true,1:6,2,12,7906
1,true,1:6,2,13,5903
1,true,1:6,2,14,4502
1,true,1:6,2,15,3419
1,true,1:6,2,16,2688
1,true,1:6,2,17,2046
1,true,1:6,2,18,1593
1,true,1:6,2,19,1188
1,true,1:6,2,20,962
1,true,1:6,2,21,785
1,true,1:6,2,22,611
1,true,1:6,2,23,538
1,true,1:6,2,24,485
1,true,1:6,2,25,428
1,true,1:6,2,26,337
1,true,1:6,2,27,286
1,true,1:6,2,28,272
1,true,1:6,2,29,254
1,true,1:6,2,30,229
1,true,1:6,2,31,194
1,true,1:6,2,32,204
1,true,1:6,2,33,214
1,true,1:6,2,34,180
1,true,1:6,2,35,164
1,true,1:6,2,36,152
1,true,1:6,2,37,137
1,true,1:6,2,38,130
1,true,1:6,2,39,121
1,true,1:6,2,40,135
1,true,1:6,2,41,131
1,true,1:6,2,42,133
1,true,1:6,2,43,112
1,true,1:6,2,44,116
1,true,1:6,2,45,111
1,true,1:6,2,46,116
1,true,1:6,2,47,100
1,true,1:6,2,48,78
1,true,1:6,2,49,61
1,true,1:6,2,50,73
1,true,1:6,2,51,66
1,true,1:6,2,52,54
1,true,1:6,2,53,62
1,true,1:6,2,54,63
1,true,1:6,2,55,55
1,true,1:6,2,56,57
1,true,1:6,2,57,42
1,true,1:6,2,58,56
1,true,1:6,2,59,48
1,true,1:6,2,60,66
1,true,1:6,2,61,53
1,true,1:6,2,62,49
1,true,1:6,2,63,35
1,true,1:6,2,64,58
1,true,1:6,2,65,57
1,true,1:6,2,66,53
1,true,1:6,2,67,44
1,true,1:6,2,68,46
1,true,1:6,2,69,51
1,true,1:6,2,70,54
1,true,1:6,2,71,44
1,true,1:6,2,72,47
1,true,1:6,2,73,39
1,true,1:6,2,74,38
1,true,1:6,2,75,37
1,true,1:6,2,76,33
1,true,1:6,2,77,32
1,true,1:6,2,78,24
1,true,1:6,2,79,28
1,true,1:6,2,80,20
1,true,1:6,2,81,22
1,true,1:6,2,82,23
1,true,1:6,2,83,17
1,true,1:6,2,84,20
1,true,1:6,2,85,17
1,true,1:6,2,86,10
1,true,1:6,2,87,7
1,true,1:6,2,88,11
1,true,1:6,2,89,3
1,true,1:6,2,90,13
1,true,1:6,2,91,8
1,true,1:6,2,92,13
1,true,1:6,2,93,10
1,true,1:6,2,94,13
1,true,1:6,2,95,9
1,true,1:6,2,96,10
1,true,1:6,2,97,10
1,true,1:6,2,98,6
1,true,1:6,2,99,6
1,true,1:6,2,100,1
2,true,1:6,2,1,0
2,true,1:6,2,2,0
2,true,1:6,2,3,3
2,true,1:6,2,4,1027
2,true,1:6,2,5,10052
2,true,1:6,2,6,18861
2,true,1:6,2,7,19073
2,true,1:6,2,8,15325
2,true,1:6,2,9,11349
2,true,1:6,2,10,8401
2,true,1:6,2,11,6497
2,true,1:6,2,12,4975
2,true,1:6,2,13,3884
2,true,1:6,2,14,3168
2,true,1:6,2,15,2599
2,true,1:6,2,16,2177
2,true,1:6,2,17,1811
2,true,1:6,2,18,1473
2,true,1:6,2,19,1230
2,true,1:6,2,20,1101
2,true,1:6,2,21,977
2,true,1:6,2,22,825
2,true,1:6,2,23,813
2,true,1:6,2,24,764
2,true,1:6,2,25,634
2,true,1:6,2,26,640
