mw,server,worker,rep,write_rt,read_rt,write_tp,read_tp
1,1,8,1,24.720328638497648,65.41328442879501,6160.802816901409,2935.095657276996
1,1,8,2,31.947248304642674,65.39361828377672,6013.759585289516,2933.133802816901
1,1,8,3,30.878300747931032,65.41935119979135,6158.522268747621,2932.1469092331768
1,1,32,1,24.259732267478746,65.67775430359937,7921.9613627712215,2921.3941705790303
1,1,32,2,23.977901304121023,65.38103416797078,7957.085978090767,2934.644561815337
1,1,32,3,20.987349285905626,65.4110993740219,7694.520989299159,2935.393974960877
1,3,8,1,41.63460610258145,28.35257042253521,4496.871700926278,6779.789123630672
1,3,8,2,43.240047600417306,28.466037304910547,4449.242957746479,6754.585458698135
1,3,8,3,41.818079029733966,27.891105700771192,4573.664123630673,6891.3557395423595
1,3,32,1,21.27856173074483,21.808613754599662,7913.431100114198,8801.482679862962
1,3,32,2,25.04957765864456,21.80208729856617,7673.071553948314,8801.223448800914
1,3,32,3,23.61707694671325,21.78766907752824,7710.2454766651645,8807.194328130947
2,1,8,1,19.960979814069606,65.46938869327074,9623.037312765482,2931.2814945226924
2,1,8,2,18.932191817572104,65.34623924100156,9616.947954393023,2933.6216744913927
2,1,8,3,19.524529864371413,65.34623924100154,9583.812010954616,2933.6216744913927
2,1,32,1,15.10149530516432,65.45236893583724,12722.147283702212,2933.3272691705793
2,1,32,2,15.238412623891493,65.401848759222,12707.67267493852,2934.3569416498995
2,1,32,3,15.238412623891499,65.43087865153889,12707.67267493858,2933.152582159624
2,3,8,1,23.040688510693798,22.22184238765923,8343.416046277667,8796.55875251502
2,3,8,2,21.805299621804906,22.221842387659287,8268.532276995305,8796.55875251509
2,3,8,3,20.401770213875846,21.947114399359112,8275.229314777554,8800.024033087413
2,3,32,1,16.484363402638053,21.82408744131455,11651.347272524034,8803.581768388107
2,3,32,2,16.507637584767867,21.817502608242048,11634.223395931145,8804.601525821596
2,3,32,3,16.61186394291676,21.833365284298377,11562.178085177731,8801.150430359938
